2025-09-24 19:05:46 | INFO     | __main__:run_monitor:216 - 🚀 启动监控系统...
2025-09-24 19:05:46 | INFO     | __main__:start:50 - 监控系统启动中...
2025-09-24 19:05:46 | INFO     | __main__:create_monitor_from_settings:105 - 从settings.py创建监控策略...
2025-09-24 19:05:46 | INFO     | __main__:create_monitor_from_settings:118 - 📋 监控策略参数: {'funding_rate_threshold': 0.003, 'max_contracts_in_pool': 20, 'min_volume': 1000000.0, 'cache_duration': 7200, 'update_interval': 1800, 'contract_refresh_interval': 10800, 'funding_rate_check_interval': 600}
2025-09-24 19:05:47 | INFO     | __main__:create_monitor_from_settings:124 - ✅ 监控策略创建成功
2025-09-24 19:05:47 | INFO     | __main__:start:56 - 启动监控策略...
2025-09-24 19:05:47 | INFO     | __main__:start:61 - ✅ 监控策略已启动: 资金费率监控系统
2025-09-24 19:05:47 | INFO     | __main__:start:65 - ✅ 所有监控策略已启动
2025-09-24 19:05:47 | INFO     | __main__:start:66 - 💡 系统将自动执行定时任务
2025-09-24 19:05:47 | INFO     | utils.notifier:send_email_notification:75 - 邮件通知发送成功: 系统启动通知
2025-09-24 19:31:00 | INFO     | __main__:_signal_handler:42 - 收到信号 2，正在停止监控系统...
2025-09-24 19:31:01 | INFO     | utils.notifier:send_email_notification:75 - 邮件通知发送成功: 系统停止通知
2025-09-24 19:31:01 | INFO     | __main__:stop:100 - 监控系统已停止
2025-09-24 19:31:01 | INFO     | __main__:run_monitor:226 - 正在停止所有监控...
2025-09-24 19:31:02 | INFO     | utils.notifier:send_email_notification:75 - 邮件通知发送成功: 系统停止通知
2025-09-24 19:31:02 | INFO     | __main__:stop:100 - 监控系统已停止
2025-09-24 19:31:02 | INFO     | __main__:run_monitor:229 - ✅ 所有监控已停止
2025-09-24 19:31:02 | INFO     | __main__:run_monitor:233 - 监控系统已退出
2025-09-24 19:32:44 | INFO     | __main__:main:240 - === 加密货币资金费率监控系统 启动 ===
2025-09-24 19:32:44 | INFO     | __main__:test_data_connection:156 - 测试数据连接...
2025-09-24 19:32:44 | INFO     | __main__:test_data_connection:175 - 获取到 586 个交易对
2025-09-24 19:32:44 | INFO     | __main__:test_data_connection:197 - DRIFTUSDT 最新价格: 0.80383042
2025-09-24 19:32:44 | INFO     | __main__:test_data_connection:201 - 数据连接测试完成
2025-09-24 19:32:44 | INFO     | __main__:run_monitor:210 - 启动资金费率监控系统...
2025-09-24 19:32:44 | INFO     | __main__:run_monitor:216 - 🚀 启动监控系统...
2025-09-24 19:32:44 | INFO     | __main__:start:50 - 监控系统启动中...
2025-09-24 19:32:44 | INFO     | __main__:create_monitor_from_settings:105 - 从settings.py创建监控策略...
2025-09-24 19:32:44 | INFO     | __main__:create_monitor_from_settings:118 - 📋 监控策略参数: {'funding_rate_threshold': 0.003, 'max_contracts_in_pool': 20, 'min_volume': 1000000.0, 'cache_duration': 7200, 'update_interval': 1800, 'contract_refresh_interval': 10800, 'funding_rate_check_interval': 600}
2025-09-24 19:32:45 | INFO     | __main__:create_monitor_from_settings:124 - ✅ 监控策略创建成功
2025-09-24 19:32:45 | INFO     | __main__:start:56 - 启动监控策略...
2025-09-24 19:32:45 | INFO     | __main__:start:61 - ✅ 监控策略已启动: 资金费率监控系统
2025-09-24 19:32:45 | INFO     | __main__:start:65 - ✅ 所有监控策略已启动
2025-09-24 19:32:45 | INFO     | __main__:start:66 - 💡 系统将自动执行定时任务
2025-09-24 19:32:46 | INFO     | utils.notifier:send_email_notification:75 - 邮件通知发送成功: 系统启动通知
2025-09-24 19:41:53 | INFO     | __main__:_signal_handler:42 - 收到信号 2，正在停止监控系统...
2025-09-24 19:41:53 | INFO     | utils.notifier:send_email_notification:75 - 邮件通知发送成功: 系统停止通知
2025-09-24 19:41:53 | INFO     | __main__:stop:100 - 监控系统已停止
2025-09-24 19:41:53 | INFO     | __main__:run_monitor:226 - 正在停止所有监控...
2025-09-24 19:41:54 | INFO     | utils.notifier:send_email_notification:75 - 邮件通知发送成功: 系统停止通知
2025-09-24 19:41:54 | INFO     | __main__:stop:100 - 监控系统已停止
2025-09-24 19:41:54 | INFO     | __main__:run_monitor:229 - ✅ 所有监控已停止
2025-09-24 19:41:54 | INFO     | __main__:run_monitor:233 - 监控系统已退出
2025-09-24 19:46:50 | INFO     | __main__:main:240 - === 加密货币资金费率监控系统 启动 ===
2025-09-24 19:46:50 | INFO     | __main__:test_data_connection:156 - 测试数据连接...
2025-09-24 19:46:50 | INFO     | __main__:test_data_connection:175 - 获取到 586 个交易对
2025-09-24 19:46:50 | INFO     | __main__:test_data_connection:197 - DRIFTUSDT 最新价格: 0.80383042
2025-09-24 19:46:50 | INFO     | __main__:test_data_connection:201 - 数据连接测试完成
2025-09-24 19:46:50 | INFO     | __main__:run_monitor:210 - 启动资金费率监控系统...
2025-09-24 19:46:50 | INFO     | __main__:run_monitor:216 - 🚀 启动监控系统...
2025-09-24 19:46:50 | INFO     | __main__:start:50 - 监控系统启动中...
2025-09-24 19:46:50 | INFO     | __main__:create_monitor_from_settings:105 - 从settings.py创建监控策略...
2025-09-24 19:46:50 | INFO     | __main__:create_monitor_from_settings:118 - 📋 监控策略参数: {'funding_rate_threshold': 0.003, 'max_contracts_in_pool': 20, 'min_volume': 1000000.0, 'cache_duration': 7200, 'update_interval': 1800, 'contract_refresh_interval': 10800, 'funding_rate_check_interval': 600}
2025-09-24 19:46:50 | INFO     | __main__:create_monitor_from_settings:124 - ✅ 监控策略创建成功
2025-09-24 19:46:50 | INFO     | __main__:start:56 - 启动监控策略...
2025-09-24 19:46:50 | INFO     | __main__:start:61 - ✅ 监控策略已启动: 资金费率监控系统
2025-09-24 19:46:50 | INFO     | __main__:start:65 - ✅ 所有监控策略已启动
2025-09-24 19:46:50 | INFO     | __main__:start:66 - 💡 系统将自动执行定时任务
2025-09-24 19:46:51 | INFO     | utils.notifier:send_email_notification:75 - 邮件通知发送成功: 系统启动通知
