timestamp,open_price,high_price,low_price,close_price,volume
2025-06-14 00:00:00,1.3996,1.4044,1.3880,1.3941,2586527
2025-06-14 01:00:00,1.3942,1.3963,1.3780,1.3850,2219217
2025-06-14 02:00:00,1.3850,1.4271,1.3847,1.4210,4971847
2025-06-14 03:00:00,1.4210,1.4297,1.3903,1.4160,4631221
2025-06-14 04:00:00,1.4160,1.4161,1.3940,1.3950,2776887
2025-06-14 05:00:00,1.3949,1.4132,1.3911,1.4062,1596828
2025-06-14 06:00:00,1.4062,1.4093,1.3953,1.3977,1530237
2025-06-14 07:00:00,1.3978,1.4061,1.3918,1.3976,1468456
2025-06-14 08:00:00,1.3975,1.4172,1.3933,1.4099,1872058
2025-06-14 09:00:00,1.4098,1.4100,1.3964,1.3999,1406483
2025-06-14 10:00:00,1.3998,1.4033,1.3944,1.3982,1287059
2025-06-14 11:00:00,1.3982,1.4062,1.3901,1.3962,1560579
2025-06-14 12:00:00,1.3961,1.4081,1.3933,1.4069,1375369
2025-06-14 13:00:00,1.4069,1.4167,1.4045,1.4149,2015802
2025-06-14 14:00:00,1.4149,1.4186,1.3969,1.3985,1437659
2025-06-14 15:00:00,1.3986,1.4012,1.3698,1.3828,3692729
2025-06-14 16:00:00,1.3828,1.3907,1.3620,1.3713,2960671
2025-06-14 17:00:00,1.3714,1.3874,1.3710,1.3826,1942417
2025-06-14 18:00:00,1.3827,1.3959,1.3715,1.3827,2292411
2025-06-14 19:00:00,1.3828,1.3940,1.3805,1.3829,1664361
2025-06-14 20:00:00,1.3831,1.3894,1.3709,1.3792,2177205
2025-06-14 21:00:00,1.3793,1.3869,1.3671,1.3840,1952767
2025-06-14 22:00:00,1.3837,1.3848,1.3726,1.3839,1406170
2025-06-14 23:00:00,1.3840,1.3904,1.3766,1.3776,942631
2025-06-15 00:00:00,1.3777,1.3823,1.3735,1.3817,1467361
2025-06-15 01:00:00,1.3817,1.3829,1.3642,1.3729,2078713
2025-06-15 02:00:00,1.3729,1.4119,1.3722,1.3889,5051632
2025-06-15 03:00:00,1.3890,1.4078,1.3879,1.4039,1805688
2025-06-15 04:00:00,1.4039,1.4157,1.4000,1.4088,2005049
2025-06-15 05:00:00,1.4088,1.4122,1.3988,1.4062,1670555
